timestamp,date,hour,shift,lot_id,product_id,process_step,equipment_id,cleaning_bath,carrier_id,carrier_type,bath_temp_c,chemical_concentration_pct,flow_rate_lpm,filter_life_day,particle_count,ni_contamination_ppb,inspection_count,defect_count,defect_rate,ng_type,rework_required,anomaly_flag,root_cause_hint,action_taken
2024-01-15T08:01:00.000Z,2024-01-15,8,B,LOT-001,PROD-B,INSPECT,EQP-04,BATH-3,CAR-005,C,48.4,11.28,5.89,2,222,8.27,100,3,0.03,DIMENSION,false,0,,
2024-01-14T15:10:00.000Z,2024-01-14,15,B,LOT-002,PROD-A,CLEAN,EQP-01,BATH-2,CAR-007,B,60.8,5.1,4.51,9,92,5.11,100,4,0.04,DIMENSION,false,0,,
2024-01-15T14:05:00.000Z,2024-01-15,14,B,LOT-003,PROD-B,CLEAN,EQP-03,BATH-1,CAR-001,C,45.8,10.42,7.65,11,418,7.2,100,9,0.09,PARTICLE,true,1,Filter replacement overdue,Carrier quarantined for inspection
2024-01-14T22:49:00.000Z,2024-01-14,22,C,LOT-004,PROD-B,COAT,EQP-02,BATH-3,CAR-006,C,58.1,10.13,5.11,27,269,11.22,100,3,0.03,PARTICLE,false,0,,
2024-01-15T07:33:00.000Z,2024-01-15,7,A,LOT-005,PROD-B,INSPECT,EQP-02,BATH-2,CAR-001,B,74.6,6.49,6.23,22,177,1.72,100,1,0.01,CONTAMINATION,false,0,,
2024-01-14T17:32:00.000Z,2024-01-14,17,C,LOT-006,PROD-B,INSPECT,EQP-03,BATH-1,CAR-008,B,57.4,11.06,7.92,15,384,17.97,100,10,0.1,PARTICLE,true,1,Ni contamination above threshold,Maintenance team notified
2024-01-15T11:37:00.000Z,2024-01-15,11,B,LOT-007,PROD-B,CLEAN,EQP-03,BATH-2,CAR-001,A,42,13.79,7.05,5,438,13.85,100,5,0.05,PARTICLE,false,1,Particle count spike - possible contamination,Bath concentration adjusted
2024-01-14T17:50:00.000Z,2024-01-14,17,C,LOT-008,PROD-B,CLEAN,EQP-03,BATH-3,CAR-006,A,66.2,10.91,7,4,364,9.27,100,5,0.05,PARTICLE,false,1,Chemical bath concentration drift,Maintenance team notified
2024-01-14T21:00:00.000Z,2024-01-14,21,C,LOT-009,PROD-A,COAT,EQP-02,BATH-3,CAR-001,C,69.9,12.33,4.01,5,292,7.09,100,4,0.04,SCRATCH,false,0,,
2024-01-15T02:49:00.000Z,2024-01-15,2,A,LOT-010,PROD-B,ETCH,EQP-03,BATH-3,CAR-006,C,45.3,8.53,2.39,16,371,12.21,100,7,0.07,DIMENSION,true,1,Ni contamination above threshold,Maintenance team notified
2024-01-15T07:59:00.000Z,2024-01-15,7,A,LOT-011,PROD-B,COAT,EQP-04,BATH-2,CAR-007,C,61.6,6.82,2.05,18,246,1.09,100,4,0.04,CONTAMINATION,false,0,,
2024-01-14T23:12:00.000Z,2024-01-14,23,C,LOT-012,PROD-B,COAT,EQP-03,BATH-1,CAR-008,C,56.4,8.9,2.8,26,386,17.39,100,9,0.09,PARTICLE,true,0,,
2024-01-14T17:47:00.000Z,2024-01-14,17,C,LOT-013,PROD-B,INSPECT,EQP-01,BATH-1,CAR-007,A,60,6.02,4.45,13,182,8.35,100,1,0.01,SCRATCH,false,0,,
2024-01-15T04:56:00.000Z,2024-01-15,4,A,LOT-014,PROD-A,ETCH,EQP-02,BATH-1,CAR-009,C,60.9,12.51,2.5,6,244,2.59,100,2,0.02,DIMENSION,false,0,,
2024-01-14T16:57:00.000Z,2024-01-14,16,C,LOT-015,PROD-A,INSPECT,EQP-02,BATH-3,CAR-009,A,58,7.61,7.74,19,107,7.55,100,4,0.04,CONTAMINATION,false,0,,
2024-01-15T06:44:00.000Z,2024-01-15,6,A,LOT-016,PROD-A,COAT,EQP-02,BATH-1,CAR-010,A,58.2,10.68,6.9,23,250,4.69,100,1,0.01,PARTICLE,false,0,,
2024-01-15T01:04:00.000Z,2024-01-15,1,A,LOT-017,PROD-B,INSPECT,EQP-01,BATH-3,CAR-009,A,67.1,12.76,5.24,25,227,11,100,1,0.01,PARTICLE,false,0,,
2024-01-15T10:01:00.000Z,2024-01-15,10,B,LOT-018,PROD-B,COAT,EQP-03,BATH-2,CAR-007,C,44.8,8.44,4.25,4,482,17.63,100,9,0.09,SCRATCH,true,1,Ni contamination above threshold,Filter replaced
2024-01-15T05:26:00.000Z,2024-01-15,5,A,LOT-019,PROD-A,CLEAN,EQP-04,BATH-3,CAR-007,A,70.7,8.37,2.95,20,163,5.65,100,2,0.02,DIMENSION,false,0,,
2024-01-15T07:59:00.000Z,2024-01-15,7,A,LOT-020,PROD-A,COAT,EQP-01,BATH-1,CAR-003,B,61.4,9.63,7.52,18,145,8.85,100,3,0.03,CONTAMINATION,false,0,,
2024-01-14T16:23:00.000Z,2024-01-14,16,C,LOT-021,PROD-B,ETCH,EQP-04,BATH-1,CAR-008,A,68.4,6.24,4.78,8,205,8.45,100,4,0.04,PARTICLE,false,0,,
2024-01-15T01:43:00.000Z,2024-01-15,1,A,LOT-022,PROD-B,CLEAN,EQP-02,BATH-1,CAR-005,C,76.6,7.16,2.05,14,139,2.62,100,3,0.03,SCRATCH,false,0,,
2024-01-15T14:30:00.000Z,2024-01-15,14,B,LOT-023,PROD-A,ETCH,EQP-04,BATH-3,CAR-003,B,49.8,6.24,6.57,17,74,3.87,100,3,0.03,CONTAMINATION,false,0,,
2024-01-15T12:58:00.000Z,2024-01-15,12,B,LOT-024,PROD-B,COAT,EQP-02,BATH-3,CAR-007,B,62.8,12.49,6.68,16,86,6.05,100,3,0.03,CONTAMINATION,false,0,,
2024-01-14T21:03:00.000Z,2024-01-14,21,C,LOT-025,PROD-A,ETCH,EQP-02,BATH-3,CAR-001,B,59,6.34,4.08,21,84,11.04,100,1,0.01,PARTICLE,false,0,,
2024-01-15T03:35:00.000Z,2024-01-15,3,A,LOT-026,PROD-A,INSPECT,EQP-03,BATH-3,CAR-007,C,63,10.55,7.82,26,473,11.67,100,6,0.06,PARTICLE,true,1,Filter replacement overdue,Carrier quarantined for inspection
2024-01-15T06:19:00.000Z,2024-01-15,6,A,LOT-027,PROD-B,ETCH,EQP-01,BATH-3,CAR-007,B,64.1,7.02,7.85,17,258,11.53,100,2,0.02,PARTICLE,false,0,,
2024-01-15T01:52:00.000Z,2024-01-15,1,A,LOT-028,PROD-A,CLEAN,EQP-01,BATH-3,CAR-006,C,63.4,14.05,5.12,23,157,2.1,100,3,0.03,PARTICLE,false,0,,
2024-01-15T12:53:00.000Z,2024-01-15,12,B,LOT-029,PROD-A,COAT,EQP-02,BATH-3,CAR-009,C,55.4,12.68,3.09,3,260,9.36,100,2,0.02,CONTAMINATION,false,0,,
2024-01-14T19:11:00.000Z,2024-01-14,19,C,LOT-030,PROD-A,INSPECT,EQP-04,BATH-1,CAR-002,B,57,11.01,2.55,28,225,1.34,100,2,0.02,CONTAMINATION,false,0,,
2024-01-15T09:19:00.000Z,2024-01-15,9,B,LOT-031,PROD-A,ETCH,EQP-03,BATH-2,CAR-006,B,63.8,9.92,4.64,12,364,10.82,100,10,0.1,DIMENSION,true,1,Ni contamination above threshold,Equipment cleaning scheduled
2024-01-15T02:17:00.000Z,2024-01-15,2,A,LOT-032,PROD-B,INSPECT,EQP-03,BATH-2,CAR-006,A,40.2,10.14,3.93,3,315,14.73,100,7,0.07,CONTAMINATION,true,1,Ni contamination above threshold,Carrier quarantined for inspection
2024-01-15T07:29:00.000Z,2024-01-15,7,A,LOT-033,PROD-A,ETCH,EQP-01,BATH-2,CAR-009,C,65.7,8.66,3.92,4,73,1.35,100,2,0.02,SCRATCH,false,0,,
2024-01-15T13:27:00.000Z,2024-01-15,13,B,LOT-034,PROD-B,ETCH,EQP-02,BATH-3,CAR-004,B,67.3,14.29,4.08,17,168,10.02,100,2,0.02,CONTAMINATION,false,0,,
2024-01-15T01:00:00.000Z,2024-01-15,1,A,LOT-035,PROD-B,COAT,EQP-03,BATH-2,CAR-001,B,51.1,9.95,6.38,23,378,5.28,100,10,0.1,SCRATCH,true,0,,
2024-01-14T18:09:00.000Z,2024-01-14,18,C,LOT-036,PROD-A,INSPECT,EQP-03,BATH-1,CAR-001,A,46,13.78,2.89,29,334,18.93,100,10,0.1,DIMENSION,true,1,EQP-03 carrier contamination (type B),Equipment cleaning scheduled
2024-01-15T06:05:00.000Z,2024-01-15,6,A,LOT-037,PROD-A,COAT,EQP-01,BATH-1,CAR-007,C,56.7,8.33,2.37,6,188,4.71,100,4,0.04,SCRATCH,false,0,,
2024-01-15T11:52:00.000Z,2024-01-15,11,B,LOT-038,PROD-B,CLEAN,EQP-01,BATH-3,CAR-010,A,59.7,11.23,6.77,21,118,1.61,100,1,0.01,PARTICLE,false,0,,
2024-01-15T07:01:00.000Z,2024-01-15,7,A,LOT-039,PROD-A,COAT,EQP-01,BATH-3,CAR-003,C,61.7,11.58,6.33,2,287,6.28,100,1,0.01,SCRATCH,false,0,,
2024-01-15T00:35:00.000Z,2024-01-15,0,A,LOT-040,PROD-A,COAT,EQP-02,BATH-1,CAR-004,C,56.7,8.99,3.66,29,108,10,100,1,0.01,DIMENSION,false,0,,
2024-01-14T16:23:00.000Z,2024-01-14,16,C,LOT-041,PROD-A,CLEAN,EQP-03,BATH-1,CAR-006,C,67,14.02,2.52,22,242,17.62,100,10,0.1,DIMENSION,true,1,Chemical bath concentration drift,Filter replaced
2024-01-14T16:51:00.000Z,2024-01-14,16,C,LOT-042,PROD-A,INSPECT,EQP-03,BATH-2,CAR-002,B,67.9,14.52,2.65,21,300,14.86,100,8,0.08,PARTICLE,true,1,Chemical bath concentration drift,Carrier quarantined for inspection
2024-01-14T20:43:00.000Z,2024-01-14,20,C,LOT-043,PROD-A,COAT,EQP-04,BATH-3,CAR-003,C,67.8,8.82,7.99,25,218,4.92,100,4,0.04,DIMENSION,false,0,,
2024-01-15T04:31:00.000Z,2024-01-15,4,A,LOT-044,PROD-A,ETCH,EQP-01,BATH-1,CAR-004,C,64.6,11.91,6.28,5,65,10.22,100,4,0.04,CONTAMINATION,false,0,,
2024-01-15T00:42:00.000Z,2024-01-15,0,A,LOT-045,PROD-B,INSPECT,EQP-01,BATH-1,CAR-004,C,55.5,7.07,7.95,14,292,7.71,100,2,0.02,SCRATCH,false,0,,
2024-01-15T03:08:00.000Z,2024-01-15,3,A,LOT-046,PROD-A,INSPECT,EQP-03,BATH-2,CAR-002,A,43.1,8.56,4.25,17,442,14.55,100,3,0.03,PARTICLE,false,1,Ni contamination above threshold,Filter replaced
2024-01-14T23:40:00.000Z,2024-01-14,23,C,LOT-047,PROD-A,INSPECT,EQP-02,BATH-2,CAR-003,B,49.7,9.53,2.64,17,227,6.15,100,3,0.03,PARTICLE,false,0,,
2024-01-14T16:50:00.000Z,2024-01-14,16,C,LOT-048,PROD-A,CLEAN,EQP-02,BATH-2,CAR-010,A,56.1,6.36,4.94,10,225,11.69,100,4,0.04,SCRATCH,false,0,,
2024-01-15T00:51:00.000Z,2024-01-15,0,A,LOT-049,PROD-B,INSPECT,EQP-01,BATH-2,CAR-007,C,66.4,10.75,7.83,23,191,2.1,100,1,0.01,SCRATCH,false,0,,
2024-01-15T03:41:00.000Z,2024-01-15,3,A,LOT-050,PROD-B,CLEAN,EQP-04,BATH-1,CAR-002,A,63.2,10.47,2.38,17,202,11.64,100,3,0.03,DIMENSION,false,0,,
2024-01-15T11:06:00.000Z,2024-01-15,11,B,LOT-051,PROD-B,INSPECT,EQP-03,BATH-3,CAR-003,A,42.8,14.83,5.5,15,494,9.19,100,10,0.1,SCRATCH,true,1,EQP-03 carrier contamination (type B),Equipment cleaning scheduled
2024-01-14T21:44:00.000Z,2024-01-14,21,C,LOT-052,PROD-B,ETCH,EQP-03,BATH-1,CAR-007,A,63.3,13.89,3.1,24,247,8.23,100,8,0.08,SCRATCH,true,0,,
